season,date,team1,team2,odds1,oddsX,odds2,gameId
2024-2025,2024-10-04,BUF,NJD,2.95,3.9,2.0,2024020001.0
2024-2025,2024-10-05,NJD,BUF,2.05,3.9,2.8,2024020002.0
2024-2025,2024-10-08,SEA,STL,2.05,3.8,2.9,2024020003.0
2024-2025,2024-10-09,FLA,BOS,1.95,3.8,3.0,
2024-2025,2024-10-09,Unknown,CHI,1.85,3.95,3.25,
2024-2025,2024-10-10,MTL,TOR,3.45,4.0,1.77,
2024-2025,2024-10-10,PIT,NYR,2.88,3.85,2.05,
2024-2025,2024-10-10,EDM,WPG,1.85,3.95,3.25,
2024-2025,2024-10-10,VAN,CGY,1.77,4.0,3.45,
2024-2025,2024-10-10,VGK,COL,2.35,3.85,2.45,
2024-2025,2024-10-11,BOS,MTL,1.5,4.33,5.0,
2024-2025,2024-10-11,BUF,LAK,2.4,3.8,2.38,
2024-2025,2024-10-11,OTT,FLA,2.75,3.85,2.1,
2024-2025,2024-10-11,NJD,TOR,2.05,3.95,2.85,
2024-2025,2024-10-11,NYI,Unknown,2.1,3.8,2.8,
2024-2025,2024-10-11,DET,PIT,2.0,3.95,2.85,
2024-2025,2024-10-11,NSH,DAL,2.7,3.85,2.15,
2024-2025,2024-10-11,MIN,CBJ,1.53,4.33,4.5,
2024-2025,2024-10-11,SJS,STL,3.1,3.85,1.93,
2024-2025,2024-10-12,CAR,TBL,2.0,3.9,2.95,
2024-2025,2024-10-12,WPG,CHI,1.53,4.33,4.75,
2024-2025,2024-10-12,VAN,PHI,1.77,4.0,3.45,
2024-2025,2024-10-12,VGK,STL,1.73,4.0,3.65,
2024-2025,2024-10-12,BOS,LAK,1.95,3.85,3.0,2024020024.0
2024-2025,2024-10-13,BUF,FLA,2.4,3.75,2.38,
2024-2025,2024-10-13,TOR,PIT,1.8,4.0,3.4,
2024-2025,2024-10-13,MTL,OTT,2.95,3.9,2.0,
2024-2025,2024-10-13,DET,NSH,2.8,3.9,2.05,
2024-2025,2024-10-13,WSH,NJD,2.7,3.8,2.1,
2024-2025,2024-10-13,NYR,Unknown,1.75,4.0,3.6,
2024-2025,2024-10-13,DAL,NYI,1.9,3.9,3.2,
2024-2025,2024-10-13,MIN,SEA,2.1,3.8,2.8,
2024-2025,2024-10-13,COL,CBJ,1.44,4.75,5.25,
2024-2025,2024-10-13,CGY,PHI,2.15,3.8,2.65,
2024-2025,2024-10-13,EDM,CHI,1.42,4.75,5.5,
2024-2025,2024-10-13,SJS,ANA,2.7,3.85,2.1,
2024-2025,2024-10-14,WPG,MIN,1.95,3.85,3.0,
2024-2025,2024-10-14,DAL,SEA,1.85,3.9,3.25,
2024-2025,2024-10-14,EDM,CGY,1.55,4.5,4.33,
2024-2025,2024-10-14,VGK,ANA,1.5,4.5,4.75,
2024-2025,2024-10-14,BOS,FLA,2.15,3.75,2.65,2024020042.0
2024-2025,2024-10-14,OTT,LAK,2.38,3.8,2.4,2024020043.0
2024-2025,2024-10-14,NJD,Unknown,1.95,3.95,3.0,
2024-2025,2024-10-15,NYR,DET,1.6,4.33,4.2,
2024-2025,2024-10-15,MTL,PIT,2.8,3.85,2.05,
2024-2025,2024-10-15,COL,NYI,2.0,3.9,2.95,
2024-2025,2024-10-16,TBL,VAN,2.1,4.4,2.7,
2024-2025,2024-10-16,WSH,VGK,2.7,4.33,2.15,
2024-2025,2024-10-16,CAR,NJD,1.95,4.33,3.0,
2024-2025,2024-10-16,CBJ,FLA,3.0,4.4,2.0,
2024-2025,2024-10-16,STL,MIN,2.5,4.2,2.3,
2024-2025,2024-10-16,NSH,SEA,1.83,4.4,3.35,
2024-2025,2024-10-16,DAL,SJS,1.44,5.0,5.75,
2024-2025,2024-10-16,CGY,CHI,2.0,4.33,2.95,
2024-2025,2024-10-16,EDM,PHI,1.77,4.6,3.7,
2024-2025,2024-10-17,PIT,BUF,2.3,3.85,2.5,
2024-2025,2024-10-17,TOR,LAK,1.77,4.0,3.45,
2024-2025,2024-10-17,COL,BOS,2.1,3.95,2.7,
2024-2025,2024-10-17,ANA,Unknown,3.0,3.9,1.95,
2024-2025,2024-10-18,MTL,LAK,2.75,3.8,2.1,
2024-2025,2024-10-18,OTT,NJD,2.8,3.9,2.05,
2024-2025,2024-10-18,TBL,VGK,2.0,3.85,2.9,
2024-2025,2024-10-18,FLA,VAN,2.45,3.75,2.35,
2024-2025,2024-10-18,WSH,DAL,2.95,3.85,2.0,
2024-2025,2024-10-18,CBJ,BUF,2.85,3.85,2.05,
2024-2025,2024-10-18,DET,NYR,2.95,3.9,2.0,
2024-2025,2024-10-18,STL,NYI,2.85,3.8,2.05,
2024-2025,2024-10-18,NSH,EDM,2.55,3.9,2.2,
2024-2025,2024-10-18,CHI,SJS,1.83,3.95,3.35,
2024-2025,2024-10-18,SEA,PHI,2.1,3.85,2.7,
2024-2025,2024-10-19,PIT,CAR,3.1,3.95,1.93,
2024-2025,2024-10-19,WPG,SJS,1.4,4.75,6.0,
2024-2025,2024-10-19,COL,ANA,1.55,4.33,4.33,
2024-2025,2024-10-19,OTT,TBL,2.75,3.9,2.05,2024020075.0
2024-2025,2024-10-19,NSH,DET,1.8,4.0,3.4,2024020076.0
2024-2025,2024-10-19,DAL,EDM,2.5,3.8,2.3,2024020077.0
2024-2025,2024-10-20,FLA,VGK,2.25,3.75,2.6,
2024-2025,2024-10-20,TOR,NYR,2.15,3.85,2.65,
2024-2025,2024-10-20,NJD,WSH,1.8,4.0,3.4,
2024-2025,2024-10-20,NYI,MTL,1.62,4.2,4.0,
2024-2025,2024-10-20,PHI,VAN,2.9,3.85,2.0,
2024-2025,2024-10-20,CBJ,MIN,3.3,3.95,1.83,
2024-2025,2024-10-20,STL,CAR,3.1,3.9,1.93,
2024-2025,2024-10-20,CHI,BUF,2.9,3.85,2.0,
2024-2025,2024-10-20,Unknown,BOS,2.8,3.85,2.1,
2024-2025,2024-10-20,SEA,CGY,2.05,3.85,2.88,
2024-2025,2024-10-20,WPG,PIT,2.15,3.85,2.7,2024020088.0
2024-2025,2024-10-21,SJS,COL,4.75,4.5,1.5,
2024-2025,2024-10-21,ANA,LAK,3.3,3.95,1.83,
2024-2025,2024-10-22,TOR,TBL,2.05,3.9,2.75,
2024-2025,2024-10-23,PHI,WSH,2.1,3.8,2.75,
2024-2025,2024-10-23,FLA,MIN,2.0,3.8,3.0,
2024-2025,2024-10-23,NJD,TBL,2.0,4.0,2.9,
2024-2025,2024-10-23,BUF,DAL,2.95,3.85,2.0,
2024-2025,2024-10-23,MTL,NYR,4.33,4.33,1.57,
2024-2025,2024-10-23,CBJ,TOR,3.5,4.0,1.75,
2024-2025,2024-10-23,NYI,DET,1.9,3.95,3.2,
2024-2025,2024-10-23,STL,WPG,2.85,3.8,2.05,
2024-2025,2024-10-23,CHI,VAN,3.35,3.9,1.83,
2024-2025,2024-10-23,SEA,COL,2.65,3.85,2.15,
2024-2025,2024-10-23,NSH,BOS,2.1,3.85,2.8,
2024-2025,2024-10-23,EDM,CAR,2.25,3.85,2.55,
2024-2025,2024-10-23,Unknown,OTT,2.3,3.85,2.5,
2024-2025,2024-10-23,CGY,PIT,2.25,3.85,2.5,
2024-2025,2024-10-23,ANA,SJS,1.95,3.85,3.0,
2024-2025,2024-10-23,VGK,LAK,2.2,3.75,2.6,
2024-2025,2024-10-24,WSH,PHI,2.05,3.85,2.85,
2024-2025,2024-10-25,BOS,DAL,2.3,3.75,2.5,
2024-2025,2024-10-25,TOR,STL,1.57,4.2,4.33,
2024-2025,2024-10-25,DET,NJD,3.2,4.0,1.9,
2024-2025,2024-10-25,TBL,MIN,1.95,3.9,3.0,
2024-2025,2024-10-25,NYR,FLA,2.0,3.85,2.95,
2024-2025,2024-10-25,CGY,CAR,3.45,4.0,1.8,
2024-2025,2024-10-25,Unknown,COL,2.75,3.9,2.1,
2024-2025,2024-10-25,SEA,WPG,2.7,3.8,2.15,
2024-2025,2024-10-25,LAK,SJS,1.5,4.33,5.0,
2024-2025,2024-10-26,VGK,OTT,2.2,3.85,2.6,
2024-2025,2024-10-26,NJD,NYI,2.3,3.8,2.45,
2024-2025,2024-10-26,CHI,NSH,3.3,3.95,1.85,
2024-2025,2024-10-26,EDM,PIT,1.6,4.33,4.0,
2024-2025,2024-10-26,BUF,DET,2.05,3.9,2.85,2024020122.0
2024-2025,2024-10-26,PHI,MIN,2.75,3.8,2.15,2024020123.0
2024-2025,2024-10-26,LAK,Unknown,2.0,3.85,2.9,
2024-2025,2024-10-27,BOS,TOR,2.55,3.8,2.25,
2024-2025,2024-10-27,MTL,STL,2.6,3.8,2.25,
2024-2025,2024-10-27,TBL,WSH,1.91,3.95,3.1,
2024-2025,2024-10-27,NYR,ANA,1.48,4.5,5.0,
2024-2025,2024-10-27,CGY,WPG,2.5,3.85,2.3,
2024-2025,2024-10-27,NYI,FLA,2.8,3.8,2.1,
2024-2025,2024-10-27,NSH,CBJ,1.73,4.0,3.6,
2024-2025,2024-10-27,DAL,CHI,1.44,4.5,5.5,
2024-2025,2024-10-27,VAN,PIT,1.77,4.0,3.45,
2024-2025,2024-10-27,VGK,SJS,1.5,4.33,5.0,
2024-2025,2024-10-27,SEA,CAR,3.35,3.9,1.83,
2024-2025,2024-10-27,DET,EDM,4.2,4.8,1.57,2024020136.0
2024-2025,2024-10-28,NJD,ANA,1.44,5.5,5.25,
2024-2025,2024-10-28,PHI,MTL,1.9,4.5,3.1,
2024-2025,2024-10-28,COL,OTT,1.85,4.5,3.2,
2024-2025,2024-10-29,BUF,FLA,2.9,3.9,2.0,
2024-2025,2024-10-29,CBJ,EDM,4.2,4.33,1.57,
2024-2025,2024-10-29,TBL,NSH,2.05,3.85,2.8,
2024-2025,2024-10-29,WPG,TOR,2.45,4.33,2.4,
2024-2025,2024-10-29,COL,CHI,1.8,4.0,3.45,
2024-2025,2024-10-29,Unknown,SJS,1.6,4.75,4.5,
2024-2025,2024-10-29,VAN,CAR,2.65,4.33,2.25,
2024-2025,2024-10-29,VGK,CGY,1.9,3.95,3.1,
2024-2025,2024-10-30,BOS,PHI,1.91,4.0,3.1,
2024-2025,2024-10-30,MTL,SEA,3.1,3.9,1.9,
2024-2025,2024-10-30,OTT,STL,1.83,4.0,3.35,
2024-2025,2024-10-30,NYI,ANA,1.57,4.2,4.33,
2024-2025,2024-10-30,PIT,MIN,2.5,3.8,2.25,
2024-2025,2024-10-30,WSH,NYR,2.95,3.85,2.0,
2024-2025,2024-10-30,SJS,LAK,5.5,4.5,1.44,
2024-2025,2024-10-31,CBJ,NYI,2.7,3.8,2.15,
2024-2025,2024-10-31,DET,WPG,3.1,3.9,1.9,
2024-2025,2024-10-31,COL,TBL,2.45,3.9,2.3,
2024-2025,2024-10-31,Unknown,CGY,2.2,3.85,2.55,
2024-2025,2024-10-31,LAK,VGK,2.7,3.85,2.1,
2024-2025,2024-10-31,VAN,NJD,2.25,3.9,2.5,
2024-2025,2024-11-01,TOR,SEA,1.73,4.0,3.6,
2024-2025,2024-11-01,PHI,STL,2.05,3.8,2.88,
2024-2025,2024-11-01,PIT,ANA,1.83,4.0,3.25,
2024-2025,2024-11-01,WSH,MTL,1.65,4.2,4.0,
2024-2025,2024-11-01,CAR,BOS,1.85,3.95,3.3,
2024-2025,2024-11-01,NSH,EDM,2.15,3.85,2.65,
2024-2025,2024-11-01,SJS,CHI,3.0,3.9,1.95,
2024-2025,2024-11-01,DAL,FLA,2.5,3.8,2.25,2024020168.0
2024-2025,2024-11-02,BUF,NYI,2.3,3.75,2.5,
2024-2025,2024-11-02,NYR,OTT,1.85,4.0,3.25,
2024-2025,2024-11-02,CBJ,WPG,2.95,3.95,1.95,
2024-2025,2024-11-02,MIN,TBL,2.35,3.8,2.45,
2024-2025,2024-11-02,CGY,NJD,3.2,4.0,1.85,
2024-2025,2024-11-02,FLA,DAL,2.38,3.85,2.4,2024020174.0
2024-2025,2024-11-02,PHI,BOS,2.6,3.85,2.2,2024020175.0
2024-2025,2024-11-02,LAK,CHI,1.83,3.95,3.35,2024020176.0
2024-2025,2024-11-02,WSH,CBJ,1.53,4.5,4.5,2024020177.0
2024-2025,2024-11-03,OTT,SEA,2.2,3.8,2.6,
2024-2025,2024-11-03,DET,BUF,2.3,3.85,2.45,
2024-2025,2024-11-03,PIT,MTL,1.83,4.0,3.3,
2024-2025,2024-11-03,STL,TOR,3.5,4.0,1.77,
2024-2025,2024-11-03,NSH,COL,2.15,3.85,2.65,
2024-2025,2024-11-03,SJS,VAN,4.75,4.5,1.5,
2024-2025,2024-11-03,VGK,Unknown,1.85,3.95,3.25,
2024-2025,2024-11-03,NYR,NYI,1.8,3.95,3.45,2024020185.0
2024-2025,2024-11-03,WPG,TBL,2.0,3.95,2.9,2024020186.0
2024-2025,2024-11-03,BOS,SEA,1.85,3.9,3.3,2024020187.0
2024-2025,2024-11-03,CAR,WSH,1.53,4.33,4.75,2024020188.0
2024-2025,2024-11-04,MIN,TOR,2.25,3.85,2.55,
2024-2025,2024-11-04,CGY,EDM,3.0,3.95,1.95,
2024-2025,2024-11-04,ANA,CHI,2.15,3.8,2.65,
2024-2025,2024-11-05,NSH,LAK,2.05,3.85,2.85,
2024-2025,2024-11-05,EDM,NJD,2.7,3.9,2.15,
2024-2025,2024-11-06,BUF,OTT,2.5,3.8,2.3,
2024-2025,2024-11-06,TOR,BOS,2.2,3.75,2.63,
2024-2025,2024-11-06,MTL,CGY,2.85,3.9,2.05,
2024-2025,2024-11-06,CAR,PHI,1.48,4.5,5.0,
2024-2025,2024-11-06,NYI,PIT,2.1,3.85,2.7,
2024-2025,2024-11-06,STL,TBL,3.2,3.9,1.9,
2024-2025,2024-11-06,MIN,LAK,1.83,3.95,3.3,
2024-2025,2024-11-06,WPG,Unknown,1.65,4.2,4.0,
2024-2025,2024-11-06,COL,SEA,1.8,4.0,3.4,
2024-2025,2024-11-06,ANA,VAN,4.2,4.2,1.6,
2024-2025,2024-11-06,SJS,CBJ,2.65,3.85,2.15,
2024-2025,2024-11-07,WSH,NSH,2.3,3.8,2.5,
2024-2025,2024-11-07,CHI,DET,2.4,3.85,2.38,
2024-2025,2024-11-07,EDM,VGK,1.95,3.95,2.95,
2024-2025,2024-11-08,BOS,CGY,1.95,3.85,3.0,
2024-2025,2024-11-08,OTT,NYI,2.05,3.85,2.85,
2024-2025,2024-11-08,FLA,NSH,1.7,4.0,3.7,
2024-2025,2024-11-08,NJD,MTL,1.45,4.5,5.25,
2024-2025,2024-11-08,NYR,BUF,1.75,4.0,3.5,
2024-2025,2024-11-08,CAR,PIT,1.53,4.33,4.5,
2024-2025,2024-11-08,TBL,PHI,1.7,4.0,3.7,
2024-2025,2024-11-08,DAL,CHI,1.44,4.5,5.25,
2024-2025,2024-11-08,WPG,COL,2.0,3.9,2.88,
2024-2025,2024-11-08,STL,Unknown,2.45,3.75,2.35,
2024-2025,2024-11-08,LAK,VAN,2.7,3.75,2.15,
2024-2025,2024-11-08,SJS,MIN,4.5,4.33,1.55,
2024-2025,2024-11-09,TOR,DET,1.77,4.0,3.5,
2024-2025,2024-11-09,WSH,PIT,1.77,4.0,3.45,
2024-2025,2024-11-09,ANA,MIN,3.55,4.0,1.75,
2024-2025,2024-11-09,SEA,VGK,2.8,3.85,2.05,
2024-2025,2024-11-09,BUF,CGY,2.0,3.9,2.95,2024020224.0
2024-2025,2024-11-09,WPG,DAL,2.4,3.8,2.4,2024020230.0
2024-2025,2024-11-10,FLA,PHI,1.53,4.33,4.75,
2024-2025,2024-11-10,BOS,OTT,2.05,3.8,2.88,
2024-2025,2024-11-10,TOR,MTL,1.8,4.0,3.45,
2024-2025,2024-11-10,DET,NYR,3.9,4.2,1.65,
2024-2025,2024-11-10,STL,WSH,2.75,3.85,2.1,
2024-2025,2024-11-10,NYI,NJD,2.8,3.85,2.05,
2024-2025,2024-11-10,NSH,Unknown,1.93,3.9,3.1,
2024-2025,2024-11-10,COL,CAR,2.6,3.9,2.2,
2024-2025,2024-11-10,LAK,CBJ,1.73,4.0,3.65,
2024-2025,2024-11-10,VAN,EDM,2.6,3.85,2.2,
2024-2025,2024-11-11,NJD,SJS,1.48,4.5,5.0,
2024-2025,2024-11-11,CHI,MIN,3.35,4.0,1.8,
2024-2025,2024-11-11,ANA,CBJ,2.45,3.85,2.35,
2024-2025,2024-11-11,BUF,MTL,1.65,4.2,4.0,2024020239.0
2024-2025,2024-11-12,PHI,SJS,1.53,4.33,4.75,
2024-2025,2024-11-12,PIT,DAL,3.1,3.95,1.91,
2024-2025,2024-11-12,CGY,LAK,2.75,3.8,2.15,
2024-2025,2024-11-12,COL,NSH,2.05,3.9,2.8,
2024-2025,2024-11-12,VGK,CAR,2.88,3.9,2.0,
2024-2025,2024-11-13,TOR,OTT,2.2,3.8,2.6,
2024-2025,2024-11-13,NYR,WPG,2.25,3.85,2.5,
2024-2025,2024-11-13,FLA,NJD,2.25,3.8,2.55,
2024-2025,2024-11-13,STL,BOS,3.2,3.85,1.91,
2024-2025,2024-11-13,EDM,NYI,1.65,4.2,3.95,
2024-2025,2024-11-13,VAN,CGY,1.65,4.2,4.0,
2024-2025,2024-11-13,SEA,CBJ,2.0,3.9,2.95,
2024-2025,2024-11-14,PIT,DET,2.05,3.9,2.8,
2024-2025,2024-11-14,WSH,TOR,2.05,3.8,2.88,
2024-2025,2024-11-14,Unknown,CAR,3.6,4.0,1.73,
2024-2025,2024-11-14,COL,LAK,2.1,3.85,2.75,
2024-2025,2024-11-14,ANA,VGK,4.0,4.2,1.62,
2024-2025,2024-11-15,OTT,PHI,1.8,3.95,3.45,
2024-2025,2024-11-15,TBL,WPG,2.05,3.9,2.8,
2024-2025,2024-11-15,FLA,NJD,1.95,3.85,3.0,
2024-2025,2024-11-15,NYR,SJS,1.38,4.75,6.0,
2024-2025,2024-11-15,BUF,STL,1.9,3.9,3.1,
2024-2025,2024-11-15,DAL,BOS,1.85,3.9,3.2,
2024-2025,2024-11-15,MIN,MTL,1.5,4.33,4.75,
2024-2025,2024-11-15,EDM,NSH,1.8,4.0,3.4,
2024-2025,2024-11-15,VAN,NYI,1.83,3.9,3.3,
2024-2025,2024-11-15,SEA,CHI,1.95,3.85,3.1,
2024-2025,2024-11-16,CBJ,PIT,2.63,3.9,2.15,
2024-2025,2024-11-16,COL,WSH,1.9,4.0,3.1,
2024-2025,2024-11-16,CGY,NSH,2.6,3.8,2.2,
2024-2025,2024-11-16,Unknown,VGK,2.6,3.85,2.2,
2024-2025,2024-11-16,ANA,DET,2.9,3.9,2.0,
2024-2025,2024-11-16,BOS,STL,1.83,3.95,3.35,2024020272.0
2024-2025,2024-11-16,SEA,NYI,2.4,3.75,2.4,2024020273.0
2024-2025,2024-11-17,TOR,EDM,2.85,3.85,2.05,
2024-2025,2024-11-17,MTL,CBJ,2.3,3.85,2.45,
2024-2025,2024-11-17,TBL,NJD,2.45,3.85,2.35,
2024-2025,2024-11-17,FLA,WPG,2.1,3.85,2.7,
2024-2025,2024-11-17,PHI,BUF,2.4,3.8,2.4,
2024-2025,2024-11-17,PIT,SJS,1.73,4.0,3.6,
2024-2025,2024-11-17,CAR,OTT,1.85,4.0,3.25,
2024-2025,2024-11-17,MIN,DAL,2.95,3.85,2.0,
2024-2025,2024-11-17,LAK,DET,1.75,3.95,3.6,
2024-2025,2024-11-17,VAN,CHI,1.62,4.2,4.2,
2024-2025,2024-11-17,CAR,STL,1.48,4.5,5.0,2024020284.0
2024-2025,2024-11-18,VGK,WSH,2.2,3.9,2.6,
2024-2025,2024-11-18,SEA,NYR,3.4,4.0,1.8,
2024-2025,2024-11-18,VAN,NSH,2.5,3.75,2.3,
2024-2025,2024-11-19,BOS,CBJ,1.83,3.95,3.3,
2024-2025,2024-11-19,PHI,COL,3.6,4.0,1.73,
2024-2025,2024-11-19,MTL,EDM,4.33,4.33,1.55,
2024-2025,2024-11-19,DAL,ANA,1.33,5.0,6.5,
2024-2025,2024-11-19,Unknown,WSH,2.2,3.85,2.55,
2024-2025,2024-11-19,SJS,DET,3.0,3.85,2.0,
2024-2025,2024-11-20,OTT,EDM,2.3,3.85,2.45,
2024-2025,2024-11-20,PIT,TBL,3.1,3.95,1.93,
2024-2025,2024-11-20,STL,MIN,3.1,3.8,1.95,
2024-2025,2024-11-20,WPG,FLA,2.3,3.8,2.5,
2024-2025,2024-11-20,CHI,ANA,1.9,3.95,3.2,
2024-2025,2024-11-20,CGY,NYI,2.4,3.75,2.4,
2024-2025,2024-11-20,VAN,NYR,2.7,3.8,2.1,
2024-2025,2024-11-21,TOR,VGK,2.45,3.85,2.35,
2024-2025,2024-11-21,PHI,CAR,4.2,4.2,1.62,
2024-2025,2024-11-21,DAL,SJS,1.33,5.0,6.5,
2024-2025,2024-11-21,SEA,NSH,2.85,3.75,2.05,
2024-2025,2024-11-21,LAK,BUF,1.9,3.85,3.2,
2024-2025,2024-11-22,OTT,VGK,1.95,3.9,3.0,
2024-2025,2024-11-22,DET,NYI,2.85,3.8,2.05,
2024-2025,2024-11-22,NJD,CAR,2.35,3.8,2.45,
2024-2025,2024-11-22,WSH,COL,2.95,3.95,2.0,
2024-2025,2024-11-22,CBJ,TBL,3.1,4.0,1.9,
2024-2025,2024-11-22,BOS,Unknown,2.15,3.8,2.7,
2024-2025,2024-11-22,STL,SJS,1.73,4.0,3.7,
2024-2025,2024-11-22,CHI,FLA,4.2,4.2,1.6,
2024-2025,2024-11-22,CGY,NYR,3.1,3.9,1.93,
2024-2025,2024-11-22,EDM,MIN,1.95,3.9,3.0,
2024-2025,2024-11-23,PIT,WPG,3.3,3.95,1.83,
2024-2025,2024-11-23,ANA,BUF,3.2,3.95,1.85,
2024-2025,2024-11-23,PHI,CHI,1.93,3.85,3.1,2024020318.0
2024-2025,2024-11-23,CGY,MIN,2.55,3.75,2.3,2024020319.0
2024-2025,2024-11-23,LAK,SEA,1.93,3.8,3.1,2024020320.0
2024-2025,2024-11-24,FLA,COL,2.2,3.85,2.6,
2024-2025,2024-11-24,MTL,VGK,3.2,3.95,1.9,
2024-2025,2024-11-24,OTT,VAN,2.05,3.85,2.85,
2024-2025,2024-11-24,DET,BOS,2.8,3.8,2.1,
2024-2025,2024-11-24,TBL,DAL,2.45,3.8,2.35,
2024-2025,2024-11-24,WSH,NJD,2.85,3.85,2.05,
2024-2025,2024-11-24,CBJ,CAR,4.2,4.33,1.6,
2024-2025,2024-11-24,NSH,WPG,2.05,3.9,2.8,
2024-2025,2024-11-24,PIT,Unknown,2.7,3.85,2.15,
2024-2025,2024-11-24,NYI,STL,1.95,3.85,3.1,
2024-2025,2024-11-24,SJS,BUF,2.9,3.85,2.0,
2024-2025,2024-11-24,EDM,NYR,2.05,3.95,2.8,
2024-2025,2024-11-25,TOR,Unknown,1.8,3.95,3.45,
2024-2025,2024-11-26,TBL,COL,2.25,3.85,2.5,
2024-2025,2024-11-26,FLA,WSH,1.85,3.95,3.25,
2024-2025,2024-11-26,NJD,NSH,2.05,3.85,2.88,
2024-2025,2024-11-26,NYR,STL,1.65,4.2,4.0,
2024-2025,2024-11-26,PHI,VGK,2.65,3.85,2.15,
2024-2025,2024-11-26,CAR,DAL,2.2,3.85,2.6,
2024-2025,2024-11-26,OTT,CGY,1.95,3.85,3.0,
2024-2025,2024-11-26,NYI,DET,2.0,3.85,3.0,
2024-2025,2024-11-26,MIN,WPG,2.45,3.75,2.35,
2024-2025,2024-11-26,ANA,SEA,3.0,3.85,2.0,
2024-2025,2024-11-26,SJS,LAK,4.33,4.2,1.6,
2024-2025,2024-11-27,BOS,VAN,2.3,3.75,2.55,
2024-2025,2024-11-27,MTL,Unknown,2.8,3.85,2.1,
2024-2025,2024-11-28,BUF,MIN,2.8,3.8,2.1,
2024-2025,2024-11-28,NJD,STL,1.62,4.2,4.0,
2024-2025,2024-11-28,CAR,NYR,1.8,4.0,3.35,
2024-2025,2024-11-28,DET,CGY,2.45,3.75,2.35,
2024-2025,2024-11-28,TBL,WSH,1.95,3.9,3.0,
2024-2025,2024-11-28,FLA,TOR,2.0,3.8,2.95,
2024-2025,2024-11-28,NYI,BOS,2.1,3.75,2.8,
2024-2025,2024-11-28,PIT,VAN,2.45,3.8,2.3,
2024-2025,2024-11-28,CBJ,MTL,1.83,4.0,3.25,
2024-2025,2024-11-28,NSH,PHI,1.85,3.9,3.3,
2024-2025,2024-11-28,CHI,DAL,4.0,4.2,1.62,
2024-2025,2024-11-28,COL,VGK,1.91,4.0,3.1,
2024-2025,2024-11-28,LAK,WPG,2.45,3.7,2.35,
2024-2025,2024-11-28,SEA,ANA,1.77,3.95,3.55,
2024-2025,2024-11-28,SJS,OTT,4.2,4.2,1.6,
2024-2025,2024-11-29,PHI,NYR,2.88,3.9,2.0,2024020362.0
2024-2025,2024-11-29,MIN,CHI,1.57,4.2,4.33,2024020363.0
2024-2025,2024-11-29,BUF,VAN,2.4,3.75,2.38,2024020364.0
2024-2025,2024-11-29,DET,NJD,3.35,3.95,1.8,2024020365.0
2024-2025,2024-11-29,WSH,NYI,2.05,3.8,2.88,2024020366.0
2024-2025,2024-11-29,CAR,FLA,1.95,3.85,3.0,2024020367.0
2024-2025,2024-11-29,CBJ,CGY,2.4,3.85,2.38,2024020368.0
2024-2025,2024-11-29,NSH,TBL,2.15,3.9,2.63,2024020369.0
2024-2025,2024-11-29,ANA,LAK,3.6,4.0,1.75,2024020370.0
2024-2025,2024-11-29,SJS,SEA,2.95,3.85,2.0,2024020371.0
2024-2025,2024-11-30,BOS,PIT,1.9,3.9,3.2,
2024-2025,2024-11-30,VGK,WPG,2.35,3.85,2.4,
2024-2025,2024-11-30,DAL,COL,2.15,3.9,2.65,
2024-2025,2024-11-30,Unknown,EDM,2.95,3.9,2.0,
2024-2025,2024-11-30,NYR,MTL,1.83,4.0,3.3,2024020376.0
2024-2025,2024-11-30,FLA,CAR,2.55,3.85,2.2,2024020377.0
2024-2025,2024-12-01,TBL,TOR,2.9,3.85,2.0,
2024-2025,2024-12-01,NJD,WSH,1.95,3.9,3.0,
2024-2025,2024-12-01,PIT,CGY,2.38,3.8,2.4,
2024-2025,2024-12-01,STL,PHI,2.15,3.8,2.75,
2024-2025,2024-12-01,LAK,OTT,2.38,3.75,2.4,
2024-2025,2024-12-01,NYI,BUF,2.25,3.75,2.6,
2024-2025,2024-12-01,MIN,NSH,2.1,3.8,2.8,
2024-2025,2024-12-01,COL,EDM,2.15,3.9,2.63,
2024-2025,2024-12-01,SEA,SJS,1.73,4.0,3.65,
2024-2025,2024-12-01,VGK,Unknown,1.95,3.95,2.95,
2024-2025,2024-12-01,DET,VAN,2.65,3.75,2.2,2024020388.0
2024-2025,2024-12-01,BOS,MTL,1.57,4.2,4.5,2024020389.0
2024-2025,2024-12-01,CHI,CBJ,2.7,3.9,2.1,2024020390.0
2024-2025,2024-12-01,DAL,WPG,2.0,3.85,2.95,2024020391.0
2024-2025,2024-12-02,ANA,OTT,3.1,3.9,1.95,
2024-2025,2024-12-03,NYR,NJD,2.63,3.85,2.15,
2024-2025,2024-12-03,TOR,CHI,1.33,5.0,6.5,
2024-2025,2024-12-03,Unknown,DAL,2.6,3.85,2.2,
2024-2025,2024-12-04,BOS,DET,1.9,4.0,3.1,
2024-2025,2024-12-04,BUF,COL,2.95,3.95,2.0,
2024-2025,2024-12-04,MTL,NYI,2.7,3.8,2.15,
2024-2025,2024-12-04,PIT,FLA,3.1,4.0,1.9,
2024-2025,2024-12-04,WSH,SJS,1.6,4.2,4.2,
2024-2025,2024-12-04,CAR,SEA,1.6,4.2,4.2,
2024-2025,2024-12-04,MIN,VAN,2.05,3.85,2.88,
2024-2025,2024-12-04,WPG,STL,1.73,4.2,3.6,
2024-2025,2024-12-04,CGY,CBJ,2.05,3.95,2.8,
